,FedFunds,Unemployment,HousingStarts,Inflation
1998-07-01,5.54,4.5,1698.0,163.2
1998-08-01,5.55,4.5,1614.0,163.4
1998-09-01,5.51,4.6,1582.0,163.5
1998-10-01,5.07,4.5,1715.0,163.9
1998-11-01,4.83,4.4,1660.0,164.1
1998-12-01,4.68,4.4,1792.0,164.4
1999-01-01,4.63,4.3,1748.0,164.7
1999-02-01,4.76,4.4,1670.0,164.7
1999-03-01,4.81,4.2,1710.0,164.8
1999-04-01,4.74,4.3,1553.0,165.9
1999-05-01,4.74,4.2,1611.0,166.0
1999-06-01,4.76,4.3,1559.0,166.0
1999-07-01,4.99,4.3,1669.0,166.7
1999-08-01,5.07,4.2,1648.0,167.1
1999-09-01,5.22,4.2,1635.0,167.8
1999-10-01,5.2,4.1,1608.0,168.1
1999-11-01,5.42,4.1,1648.0,168.4
1999-12-01,5.3,4.0,1708.0,168.8
2000-01-01,5.45,4.0,1636.0,169.3
2000-02-01,5.73,4.1,1737.0,170.0
2000-03-01,5.85,4.0,1604.0,171.0
2000-04-01,6.02,3.8,1626.0,170.9
2000-05-01,6.27,4.0,1575.0,171.2
2000-06-01,6.53,4.0,1559.0,172.2
2000-07-01,6.54,4.0,1463.0,172.7
2000-08-01,6.5,4.1,1541.0,172.7
2000-09-01,6.52,3.9,1507.0,173.6
2000-10-01,6.51,3.9,1549.0,173.9
2000-11-01,6.51,3.9,1551.0,174.2
2000-12-01,6.4,3.9,1532.0,174.6
2001-01-01,5.98,4.2,1600.0,175.6
2001-02-01,5.49,4.2,1625.0,176.0
2001-03-01,5.31,4.3,1590.0,176.1
2001-04-01,4.8,4.4,1649.0,176.4
2001-05-01,4.21,4.3,1605.0,177.3
2001-06-01,3.97,4.5,1636.0,177.7
2001-07-01,3.77,4.6,1670.0,177.4
2001-08-01,3.65,4.9,1567.0,177.4
2001-09-01,3.07,5.0,1562.0,178.1
2001-10-01,2.49,5.3,1540.0,177.6
2001-11-01,2.09,5.5,1602.0,177.5
2001-12-01,1.82,5.7,1568.0,177.4
2002-01-01,1.73,5.7,1698.0,177.7
2002-02-01,1.74,5.7,1829.0,178.0
2002-03-01,1.73,5.7,1642.0,178.5
2002-04-01,1.75,5.9,1592.0,179.3
2002-05-01,1.75,5.8,1764.0,179.5
2002-06-01,1.75,5.8,1717.0,179.6
2002-07-01,1.73,5.8,1655.0,180.0
2002-08-01,1.74,5.7,1633.0,180.5
2002-09-01,1.75,5.7,1804.0,180.8
2002-10-01,1.75,5.7,1648.0,181.2
2002-11-01,1.34,5.9,1753.0,181.5
2002-12-01,1.24,6.0,1788.0,181.8
2003-01-01,1.24,5.8,1853.0,182.6
2003-02-01,1.26,5.9,1629.0,183.6
2003-03-01,1.25,5.9,1726.0,183.9
2003-04-01,1.26,6.0,1643.0,183.2
2003-05-01,1.26,6.1,1751.0,182.9
2003-06-01,1.22,6.3,1867.0,183.1
2003-07-01,1.01,6.2,1897.0,183.7
2003-08-01,1.03,6.1,1833.0,184.5
2003-09-01,1.01,6.1,1939.0,185.1
2003-10-01,1.01,6.0,1967.0,184.9
2003-11-01,1.0,5.8,2083.0,185.0
2003-12-01,0.98,5.7,2057.0,185.5
2004-01-01,1.0,5.7,1911.0,186.3
2004-02-01,1.01,5.6,1846.0,186.7
2004-03-01,1.0,5.8,1998.0,187.1
2004-04-01,1.0,5.6,2003.0,187.4
2004-05-01,1.0,5.6,1981.0,188.2
2004-06-01,1.03,5.6,1828.0,188.9
2004-07-01,1.26,5.5,2002.0,189.1
2004-08-01,1.43,5.4,2024.0,189.2
2004-09-01,1.61,5.4,1905.0,189.8
2004-10-01,1.76,5.5,2072.0,190.8
2004-11-01,1.93,5.4,1782.0,191.7
2004-12-01,2.16,5.4,2042.0,191.7
2005-01-01,2.28,5.3,2144.0,191.6
2005-02-01,2.5,5.4,2207.0,192.4
2005-03-01,2.63,5.2,1864.0,193.1
2005-04-01,2.79,5.2,2061.0,193.7
2005-05-01,3.0,5.1,2025.0,193.6
2005-06-01,3.04,5.0,2068.0,193.7
2005-07-01,3.26,5.0,2054.0,194.9
2005-08-01,3.5,4.9,2095.0,196.1
2005-09-01,3.62,5.0,2151.0,198.8
2005-10-01,3.78,5.0,2065.0,199.1
2005-11-01,4.0,5.0,2147.0,198.1
2005-12-01,4.16,4.9,1994.0,198.1
2006-01-01,4.29,4.7,2273.0,199.3
2006-02-01,4.49,4.8,2119.0,199.4
2006-03-01,4.59,4.7,1969.0,199.7
2006-04-01,4.79,4.7,1821.0,200.7
2006-05-01,4.94,4.6,1942.0,201.3
2006-06-01,4.99,4.6,1802.0,201.8
2006-07-01,5.24,4.7,1737.0,202.9
2006-08-01,5.25,4.7,1650.0,203.8
2006-09-01,5.25,4.5,1720.0,202.8
2006-10-01,5.25,4.4,1491.0,201.9
2006-11-01,5.25,4.5,1570.0,202.0
2006-12-01,5.24,4.4,1649.0,203.1
2007-01-01,5.25,4.6,1409.0,203.437
2007-02-01,5.26,4.5,1480.0,204.226
2007-03-01,5.26,4.4,1495.0,205.288
2007-04-01,5.25,4.5,1490.0,205.904
2007-05-01,5.25,4.4,1415.0,206.755
2007-06-01,5.25,4.6,1448.0,207.234
2007-07-01,5.26,4.7,1354.0,207.603
2007-08-01,5.02,4.6,1330.0,207.667
2007-09-01,4.94,4.7,1183.0,208.547
2007-10-01,4.76,4.7,1264.0,209.19
2007-11-01,4.49,4.7,1197.0,210.834
2007-12-01,4.24,5.0,1037.0,211.445
2008-01-01,3.94,5.0,1084.0,212.174
2008-02-01,2.98,4.9,1103.0,212.687
2008-03-01,2.61,5.1,1005.0,213.448
2008-04-01,2.28,5.0,1013.0,213.942
2008-05-01,1.98,5.4,973.0,215.208
2008-06-01,2.0,5.6,1046.0,217.463
2008-07-01,2.01,5.8,923.0,219.016
2008-08-01,2.0,6.1,844.0,218.69
2008-09-01,1.81,6.1,820.0,218.877
2008-10-01,0.97,6.5,777.0,216.995
2008-11-01,0.39,6.8,652.0,213.153
2008-12-01,0.16,7.3,560.0,211.398
2009-01-01,0.15,7.8,490.0,211.933
2009-02-01,0.22,8.3,582.0,212.705
2009-03-01,0.18,8.7,505.0,212.495
2009-04-01,0.15,9.0,478.0,212.709
2009-05-01,0.18,9.4,540.0,213.022
2009-06-01,0.21,9.5,585.0,214.79
2009-07-01,0.16,9.5,594.0,214.726
2009-08-01,0.16,9.6,586.0,215.445
2009-09-01,0.15,9.8,585.0,215.861
2009-10-01,0.12,10.0,534.0,216.509
2009-11-01,0.12,9.9,588.0,217.234
2009-12-01,0.12,9.9,581.0,217.347
2010-01-01,0.11,9.8,614.0,217.488
2010-02-01,0.13,9.8,604.0,217.281
2010-03-01,0.16,9.9,636.0,217.353
2010-04-01,0.2,9.9,687.0,217.403
2010-05-01,0.2,9.6,583.0,217.29
2010-06-01,0.18,9.4,536.0,217.199
2010-07-01,0.18,9.4,546.0,217.605
2010-08-01,0.19,9.5,599.0,217.923
2010-09-01,0.19,9.5,594.0,218.275
2010-10-01,0.19,9.4,543.0,219.035
2010-11-01,0.19,9.8,545.0,219.59
2010-12-01,0.18,9.3,539.0,220.472
2011-01-01,0.17,9.1,630.0,221.187
2011-02-01,0.16,9.0,517.0,221.898
2011-03-01,0.14,9.0,600.0,223.046
2011-04-01,0.1,9.1,554.0,224.093
2011-05-01,0.09,9.0,561.0,224.806
2011-06-01,0.09,9.1,608.0,224.806
2011-07-01,0.07,9.0,623.0,225.395
2011-08-01,0.1,9.0,585.0,226.106
2011-09-01,0.08,9.0,650.0,226.597
2011-10-01,0.07,8.8,610.0,226.75
2011-11-01,0.08,8.6,711.0,227.169
2011-12-01,0.07,8.5,694.0,227.223
2012-01-01,0.08,8.3,723.0,227.842
2012-02-01,0.1,8.3,704.0,228.329
2012-03-01,0.13,8.2,695.0,228.807
2012-04-01,0.14,8.2,753.0,229.187
2012-05-01,0.16,8.2,708.0,228.713
2012-06-01,0.16,8.2,757.0,228.524
2012-07-01,0.16,8.2,740.0,228.59
2012-08-01,0.13,8.1,754.0,229.918
2012-09-01,0.14,7.8,847.0,231.015
2012-10-01,0.16,7.8,915.0,231.638
2012-11-01,0.16,7.7,833.0,231.249
2012-12-01,0.16,7.9,976.0,231.221
2013-01-01,0.14,8.0,888.0,231.679
2013-02-01,0.15,7.7,962.0,232.937
2013-03-01,0.14,7.5,1010.0,232.282
2013-04-01,0.15,7.6,835.0,231.797
2013-05-01,0.11,7.5,930.0,231.893
2013-06-01,0.09,7.5,839.0,232.445
2013-07-01,0.09,7.3,880.0,232.9
2013-08-01,0.08,7.2,917.0,233.456
2013-09-01,0.08,7.2,850.0,233.544
2013-10-01,0.09,7.2,925.0,233.669
2013-11-01,0.08,6.9,1100.0,234.1
2013-12-01,0.09,6.7,1002.0,234.719
2014-01-01,0.07,6.6,888.0,235.288
2014-02-01,0.07,6.7,944.0,235.547
2014-03-01,0.08,6.7,970.0,236.028
2014-04-01,0.09,6.2,1043.0,236.468
2014-05-01,0.09,6.3,1007.0,236.918
2014-06-01,0.1,6.1,911.0,237.231
2014-07-01,0.09,6.2,1085.0,237.498
2014-08-01,0.09,6.1,984.0,237.46
2014-09-01,0.09,5.9,1023.0,237.477
2014-10-01,0.09,5.7,1074.0,237.43
2014-11-01,0.09,5.8,1001.0,236.983
2014-12-01,0.12,5.6,1073.0,236.252
2015-01-01,0.11,5.7,1085.0,234.747
2015-02-01,0.11,5.5,886.0,235.342
2015-03-01,0.11,5.4,960.0,235.976
2015-04-01,0.12,5.4,1190.0,236.222
2015-05-01,0.12,5.6,1079.0,237.001
2015-06-01,0.13,5.3,1205.0,237.657
2015-07-01,0.13,5.2,1146.0,238.034
2015-08-01,0.14,5.1,1130.0,238.033
2015-09-01,0.14,5.0,1224.0,237.498
2015-10-01,0.12,5.0,1058.0,237.733
2015-11-01,0.12,5.1,1172.0,238.017
2015-12-01,0.24,5.0,1146.0,237.761
2016-01-01,0.34,4.8,1092.0,237.652
2016-02-01,0.38,4.9,1225.0,237.336
2016-03-01,0.36,5.0,1111.0,238.08
2016-04-01,0.37,5.1,1163.0,238.992
2016-05-01,0.37,4.8,1148.0,239.557
2016-06-01,0.38,4.9,1203.0,240.222
2016-07-01,0.39,4.8,1239.0,240.101
2016-08-01,0.4,4.9,1171.0,240.545
2016-09-01,0.4,5.0,1068.0,241.176
2016-10-01,0.4,4.9,1313.0,241.741
2016-11-01,0.41,4.7,1140.0,242.026
2016-12-01,0.54,4.7,1252.0,242.637
2017-01-01,0.65,4.7,1190.0,243.618
2017-02-01,0.66,4.6,1271.0,244.006
2017-03-01,0.79,4.4,1190.0,243.892
2017-04-01,0.9,4.4,1146.0,244.193
2017-05-01,0.91,4.4,1157.0,244.004
2017-06-01,1.04,4.3,1249.0,244.163
2017-07-01,1.15,4.3,1206.0,244.243
2017-08-01,1.16,4.4,1159.0,245.183
2017-09-01,1.15,4.3,1181.0,246.435
2017-10-01,1.15,4.2,1257.0,246.626
2017-11-01,1.16,4.2,1273.0,247.284
2017-12-01,1.3,4.1,1177.0,247.805
2018-01-01,1.41,4.0,1299.0,248.859
2018-02-01,1.42,4.1,1277.0,249.529
2018-03-01,1.51,4.0,1318.0,249.577
2018-04-01,1.69,4.0,1276.0,250.227
2018-05-01,1.7,3.8,1357.0,250.792
2018-06-01,1.82,4.0,1192.0,251.018
2018-07-01,1.91,3.8,1208.0,251.214
2018-08-01,1.91,3.8,1288.0,251.663
2018-09-01,1.95,3.7,1250.0,252.182
2018-10-01,2.19,3.8,1221.0,252.772
2018-11-01,2.2,3.8,1181.0,252.594
2018-12-01,2.27,3.9,1095.0,252.767
2019-01-01,2.4,4.0,1232.0,252.718
2019-02-01,2.4,3.8,1128.0,253.322
2019-03-01,2.41,3.8,1195.0,254.202
2019-04-01,2.42,3.7,1267.0,255.211
2019-05-01,2.39,3.6,1307.0,255.29
2019-06-01,2.38,3.6,1228.0,255.159
2019-07-01,2.4,3.7,1245.0,255.685
2019-08-01,2.13,3.6,1367.0,256.059
2019-09-01,2.04,3.5,1300.0,256.511
2019-10-01,1.83,3.6,1332.0,257.244
2019-11-01,1.55,3.6,1346.0,257.803
2019-12-01,1.55,3.6,1551.0,258.616
2020-01-01,1.55,3.6,1572.0,259.037
2020-02-01,1.58,3.5,1565.0,259.248
2020-03-01,0.65,4.4,1267.0,258.124
2020-04-01,0.05,14.9,925.0,256.092
2020-05-01,0.05,13.3,1054.0,255.868
2020-06-01,0.08,11.0,1266.0,256.986
2020-07-01,0.09,10.2,1529.0,258.278
2020-08-01,0.1,8.4,1377.0,259.411
2020-09-01,0.09,7.8,1463.0,260.029
2020-10-01,0.09,6.8,1537.0,260.286
2020-11-01,0.09,6.7,1545.0,260.813
2020-12-01,0.09,6.7,1663.0,262.035
2021-01-01,0.09,6.4,1602.0,262.65
2021-02-01,0.08,6.2,1422.0,263.638
2021-03-01,0.07,6.1,1700.0,264.914
2021-04-01,0.07,6.1,1484.0,266.67
2021-05-01,0.06,5.8,1600.0,268.444
2021-06-01,0.08,5.9,1661.0,270.559
2021-07-01,0.1,5.4,1593.0,271.764
2021-08-01,0.09,5.1,1576.0,272.87
2021-09-01,0.08,4.7,1560.0,274.028
2021-10-01,0.08,4.5,1572.0,276.522
2021-11-01,0.08,4.1,1712.0,278.711
2021-12-01,0.08,3.9,1787.0,280.887
2022-01-01,0.08,4.0,1669.0,282.599
2022-02-01,0.08,3.8,1771.0,284.61
2022-03-01,0.2,3.6,1713.0,287.472
2022-04-01,0.33,3.7,1803.0,288.611
2022-05-01,0.77,3.6,1543.0,291.268
2022-06-01,1.21,3.6,1561.0,294.728
2022-07-01,1.68,3.5,1371.0,294.628
2022-08-01,2.33,3.6,1505.0,295.32
2022-09-01,2.56,3.5,1463.0,296.539
2022-10-01,3.08,3.6,1432.0,297.987
2022-11-01,3.78,3.6,1427.0,298.598
2022-12-01,4.1,3.5,1357.0,298.99
2023-01-01,4.33,3.4,1340.0,300.536
2023-02-01,4.57,3.6,1436.0,301.648
2023-03-01,4.65,3.5,1380.0,301.808
2023-04-01,4.83,3.4,1348.0,302.918
2023-05-01,5.06,3.7,1583.0,303.294
2023-06-01,5.08,3.6,1418.0,303.841
2023-07-01,5.12,3.5,1451.0,304.348
2023-08-01,5.33,3.8,1305.0,306.269
2023-09-01,5.33,3.8,1356.0,307.481
2023-10-01,5.33,3.8,1359.0,307.619
2023-11-01,5.33,3.7,1560.0,307.917
2023-12-01,5.33,3.7,,
